dataset;gene;soustype;typesurvie;pval_logRank;pval_Cox;FDR_logrank;FDR_Cox;HR;n;conclusion;poids
GSE21653;POC1A;All-tumours;DFS;0,17;0,17;0,54;0,55;-0,3;248;Not Significative;0,49
GSE21653;POC1A;Luminal-A;DFS;0,41;0,41;0,54;0,55;-0,3;85;Not Significative;0,49
GSE21653;POC1A;Luminal-B;DFS;0,56;0,56;0,56;0,56;0,3;42;Not Significative;0,49
GSE21653;POC1A;HER2-enriched;DFS;0,43;0,44;0,54;0,55;0,7;22;Not Significative;0,49
GSE21653;POC1A;Basal-like;DFS;0,32;0,32;0,54;0,55;-0,4;74;Not Significative;0,49
GSE21653;EEF1AKMT3;All-tumours;DFS;0,1;0,11;0,25;0,27;-0,4;248;Not Significative;0,49
GSE21653;EEF1AKMT3;Luminal-A;DFS;0,19;0,19;0,32;0,32;-0,5;85;Not Significative;0,49
GSE21653;EEF1AKMT3;Luminal-B;DFS;1;1;1,00;1,00;0;42;Not Significative;0,49
GSE21653;EEF1AKMT3;HER2-enriched;DFS;0,05;0,07;0,25;0,27;-1,6;22;Not Significative;0,49
GSE21653;EEF1AKMT3;Basal-like;DFS;0,44;0,44;0,55;0,55;-0,3;74;Not Significative;0,49
GSE21653;THUMPD3;All-tumours;DFS;0,46;0,46;0,76;0,76;0,2;248;Not Significative;0,49
GSE21653;THUMPD3;Luminal-A;DFS;0,7;0,71;0,76;0,76;0,2;85;Not Significative;0,49
GSE21653;THUMPD3;Luminal-B;DFS;0,63;0,63;0,76;0,76;0,2;42;Not Significative;0,49
GSE21653;THUMPD3;HER2-enriched;DFS;0,25;0,26;0,76;0,76;0,9;22;Not Significative;0,49
GSE21653;THUMPD3;Basal-like;DFS;0,76;0,76;0,76;0,76;-0,1;74;Not Significative;0,49
GSE21653;MYRIP;All-tumours;DFS;0,04;0,04;0,20;0,20;0,5;248;Not Significative;0,49
GSE21653;MYRIP;Luminal-A;DFS;0,92;0,92;0,92;0,92;0;85;Not Significative;0,49
GSE21653;MYRIP;Luminal-B;DFS;0,19;0,19;0,32;0,32;0,6;42;Not Significative;0,49
GSE21653;MYRIP;HER2-enriched;DFS;0,47;0,48;0,59;0,60;0,6;22;Not Significative;0,49
GSE21653;MYRIP;Basal-like;DFS;0,16;0,17;0,32;0,32;0,6;74;Not Significative;0,49
GSE21653;GEMIN5;All-tumours;DFS;0,45;0,45;0,56;0,56;-0,2;248;Not Significative;0,49
GSE21653;GEMIN5;Luminal-A;DFS;0,05;0,05;0,25;0,25;-0,8;85;Not Significative;0,49
GSE21653;GEMIN5;Luminal-B;DFS;0,24;0,25;0,50;0,52;0,5;42;Not Significative;0,49
GSE21653;GEMIN5;HER2-enriched;DFS;0,64;0,64;0,64;0,64;0,4;22;Not Significative;0,49
GSE21653;GEMIN5;Basal-like;DFS;0,3;0,31;0,50;0,52;-0,5;74;Not Significative;0,49
GSE21653;SEC31B;All-tumours;DFS;0,76;0,76;0,95;0,95;-0,1;248;Not Significative;0,49
GSE21653;SEC31B;Luminal-A;DFS;0,44;0,44;0,95;0,95;-0,3;85;Not Significative;0,49
GSE21653;SEC31B;Luminal-B;DFS;0,99;0,99;0,99;0,99;0;42;Not Significative;0,49
GSE21653;SEC31B;HER2-enriched;DFS;0,2;0,22;0,95;0,95;-1;22;Not Significative;0,49
GSE21653;SEC31B;Basal-like;DFS;0,58;0,58;0,95;0,95;0,2;74;Not Significative;0,49
GSE21653;L3MBTL1;All-tumours;DFS;0,26;0,26;0,94;0,94;-0,3;248;Not Significative;0,49
GSE21653;L3MBTL1;Luminal-A;DFS;0,53;0,53;0,94;0,94;0,3;85;Not Significative;0,49
GSE21653;L3MBTL1;Luminal-B;DFS;0,74;0,74;0,94;0,94;-0,2;42;Not Significative;0,49
GSE21653;L3MBTL1;HER2-enriched;DFS;0,94;0,94;0,94;0,94;-0,1;22;Not Significative;0,49
GSE21653;L3MBTL1;Basal-like;DFS;0,94;0,94;0,94;0,94;0;74;Not Significative;0,49
GSE21653;CHD5;All-tumours;DFS;0,47;0,47;0,47;0,47;-0,2;248;Not Significative;0,49
GSE21653;CHD5;Luminal-A;DFS;0,14;0,15;0,35;0,37;-0,6;85;Not Significative;0,49
GSE21653;CHD5;Luminal-B;DFS;0,08;0,09;0,35;0,37;-0,8;42;Not Significative;0,49
GSE21653;CHD5;HER2-enriched;DFS;0,45;0,46;0,47;0,47;0,6;22;Not Significative;0,49
GSE21653;CHD5;Basal-like;DFS;0,26;0,27;0,43;0,45;0,5;74;Not Significative;0,49
GSE21653;DCAF4;All-tumours;DFS;0,74;0,74;0,88;0,88;-0,1;248;Not Significative;0,49
GSE21653;DCAF4;Luminal-A;DFS;0,04;0,04;0,20;0,20;-0,9;85;Not Significative;0,49
GSE21653;DCAF4;Luminal-B;DFS;0,71;0,71;0,88;0,88;-0,2;42;Not Significative;0,49
GSE21653;DCAF4;HER2-enriched;DFS;0,88;0,88;0,88;0,88;0,1;22;Not Significative;0,49
GSE21653;DCAF4;Basal-like;DFS;0,68;0,68;0,88;0,88;-0,2;74;Not Significative;0,49
GSE21653;PYGO1;All-tumours;DFS;0,88;0,88;0,88;0,88;0;248;Not Significative;0,49
GSE21653;PYGO1;Luminal-A;DFS;0,1;0,11;0,50;0,55;0,7;85;Not Significative;0,49
GSE21653;PYGO1;Luminal-B;DFS;0,84;0,84;0,88;0,88;0,1;42;Not Significative;0,49
GSE21653;PYGO1;HER2-enriched;DFS;0,28;0,3;0,70;0,75;-0,9;22;Not Significative;0,49
GSE21653;PYGO1;Basal-like;DFS;0,79;0,79;0,88;0,88;-0,1;74;Not Significative;0,49
GSE21653;WSB1;All-tumours;DFS;0,72;0,72;0,96;0,96;0,1;248;Not Significative;0,49
GSE21653;WSB1;Luminal-A;DFS;0,37;0,37;0,92;0,92;0,4;85;Not Significative;0,49
GSE21653;WSB1;Luminal-B;DFS;0,96;0,96;0,96;0,96;0;42;Not Significative;0,49
GSE21653;WSB1;HER2-enriched;DFS;0,3;0,31;0,92;0,92;-0,8;22;Not Significative;0,49
GSE21653;WSB1;Basal-like;DFS;0,77;0,77;0,96;0,96;-0,1;74;Not Significative;0,49
GSE21653;PHF19;All-tumours;DFS;0,08;0,08;0,40;0,40;-0,4;248;Not Significative;0,49
GSE21653;PHF19;Luminal-A;DFS;0,35;0,35;0,58;0,58;-0,4;85;Not Significative;0,49
GSE21653;PHF19;Luminal-B;DFS;0,74;0,74;0,90;0,91;-0,2;42;Not Significative;0,49
GSE21653;PHF19;HER2-enriched;DFS;0,9;0,91;0,90;0,91;0,1;22;Not Significative;0,49
GSE21653;PHF19;Basal-like;DFS;0,27;0,27;0,58;0,58;-0,5;74;Not Significative;0,49
GSE21653;FBXW2;All-tumours;DFS;0,74;0,74;0,76;0,76;0,1;248;Not Significative;0,49
GSE21653;FBXW2;Luminal-A;DFS;0,76;0,76;0,76;0,76;-0,1;85;Not Significative;0,49
GSE21653;FBXW2;Luminal-B;DFS;0,7;0,7;0,76;0,76;0,2;42;Not Significative;0,49
GSE21653;FBXW2;HER2-enriched;DFS;0,66;0,66;0,76;0,76;-0,3;22;Not Significative;0,49
GSE21653;FBXW2;Basal-like;DFS;0,66;0,66;0,76;0,76;-0,2;74;Not Significative;0,49
GSE21653;FBXW8;All-tumours;DFS;0,35;0,36;0,89;0,89;0,2;248;Not Significative;0,49
GSE21653;FBXW8;Luminal-A;DFS;0,7;0,7;0,89;0,89;0,2;85;Not Significative;0,49
GSE21653;FBXW8;Luminal-B;DFS;0,89;0,89;0,89;0,89;-0,1;42;Not Significative;0,49
GSE21653;FBXW8;HER2-enriched;DFS;0,37;0,38;0,89;0,89;-0,7;22;Not Significative;0,49
GSE21653;FBXW8;Basal-like;DFS;0,79;0,79;0,89;0,89;0,1;74;Not Significative;0,49
GSE21653;TBL2;All-tumours;DFS;0,96;0,96;0,96;0,96;0;248;Not Significative;0,49
GSE21653;TBL2;Luminal-A;DFS;0,87;0,87;0,96;0,96;-0,1;85;Not Significative;0,49
GSE21653;TBL2;Luminal-B;DFS;0,67;0,67;0,96;0,96;-0,2;42;Not Significative;0,49
GSE21653;TBL2;HER2-enriched;DFS;0,34;0,35;0,90;0,90;-0,8;22;Not Significative;0,49
GSE21653;TBL2;Basal-like;DFS;0,36;0,36;0,90;0,90;0,4;74;Not Significative;0,49
GSE21653;RANBP6;All-tumours;DFS;0,47;0,47;0,80;0,80;0,2;248;Not Significative;0,49
GSE21653;RANBP6;Luminal-A;DFS;0,56;0,56;0,80;0,80;0,2;85;Not Significative;0,49
GSE21653;RANBP6;Luminal-B;DFS;0,94;0,94;0,94;0,94;0;42;Not Significative;0,49
GSE21653;RANBP6;HER2-enriched;DFS;0,22;0,23;0,80;0,80;1;22;Not Significative;0,49
GSE21653;RANBP6;Basal-like;DFS;0,64;0,64;0,80;0,80;-0,2;74;Not Significative;0,49
GSE21653;DNAI1;All-tumours;DFS;0,31;0,31;0,39;0,39;-0,2;248;Not Significative;0,49
GSE21653;DNAI1;Luminal-A;DFS;0,19;0,2;0,39;0,39;-0,5;85;Not Significative;0,49
GSE21653;DNAI1;Luminal-B;DFS;0,24;0,24;0,39;0,39;-0,5;42;Not Significative;0,49
GSE21653;DNAI1;HER2-enriched;DFS;0,11;0,13;0,39;0,39;-1,3;22;Not Significative;0,49
GSE21653;DNAI1;Basal-like;DFS;0,86;0,86;0,86;0,86;0,1;74;Not Significative;0,49
GSE21653;TAF5L;All-tumours;DFS;0,07;0,07;0,13;0,15;-0,4;248;Not Significative;0,49
GSE21653;TAF5L;Luminal-A;DFS;0,05;0,06;0,13;0,15;-0,8;85;Not Significative;0,49
GSE21653;TAF5L;Luminal-B;DFS;0,16;0,16;0,20;0,20;-0,7;42;Not Significative;0,49
GSE21653;TAF5L;HER2-enriched;DFS;0,23;0,24;0,23;0,24;0,9;22;Not Significative;0,49
GSE21653;TAF5L;Basal-like;DFS;0,08;0,09;0,13;0,15;-0,8;74;Not Significative;0,49
GSE21653;MORC1;All-tumours;DFS;0,43;0,43;0,64;0,64;0,2;248;Not Significative;0,49
GSE21653;MORC1;Luminal-A;DFS;0,62;0,62;0,64;0,64;-0,2;85;Not Significative;0,49
GSE21653;MORC1;Luminal-B;DFS;0,49;0,49;0,64;0,64;0,3;42;Not Significative;0,49
GSE21653;MORC1;HER2-enriched;DFS;0,64;0,64;0,64;0,64;0,4;22;Not Significative;0,49
GSE21653;MORC1;Basal-like;DFS;0,55;0,55;0,64;0,64;0,3;74;Not Significative;0,49
GSE21653;BRPF3;All-tumours;DFS;0,34;0,34;0,79;0,79;-0,2;248;Not Significative;0,49
GSE21653;BRPF3;Luminal-A;DFS;0,06;0,06;0,30;0,30;-0,8;85;Not Significative;0,49
GSE21653;BRPF3;Luminal-B;DFS;0,63;0,63;0,79;0,79;0,2;42;Not Significative;0,49
GSE21653;BRPF3;HER2-enriched;DFS;0,9;0,91;0,90;0,91;0,1;22;Not Significative;0,49
GSE21653;BRPF3;Basal-like;DFS;0,63;0,63;0,79;0,79;-0,2;74;Not Significative;0,49
GSE21653;PRPF19;All-tumours;DFS;0,36;0,37;0,89;0,89;-0,2;248;Not Significative;0,49
GSE21653;PRPF19;Luminal-A;DFS;0,19;0,2;0,89;0,89;-0,5;85;Not Significative;0,49
GSE21653;PRPF19;Luminal-B;DFS;0,67;0,67;0,89;0,89;-0,2;42;Not Significative;0,49
GSE21653;PRPF19;HER2-enriched;DFS;0,89;0,89;0,89;0,89;-0,1;22;Not Significative;0,49
GSE21653;PRPF19;Basal-like;DFS;0,85;0,85;0,89;0,89;0,1;74;Not Significative;0,49
GSE21653;EML4;All-tumours;DFS;0,68;0,68;0,76;0,76;-0,1;248;Not Significative;0,49
GSE21653;EML4;Luminal-A;DFS;0,76;0,76;0,76;0,76;-0,1;85;Not Significative;0,49
GSE21653;EML4;Luminal-B;DFS;0,48;0,49;0,76;0,76;0,3;42;Not Significative;0,49
GSE21653;EML4;HER2-enriched;DFS;0,65;0,66;0,76;0,76;0,3;22;Not Significative;0,49
GSE21653;EML4;Basal-like;DFS;0,35;0,35;0,76;0,76;-0,4;74;Not Significative;0,49
GSE21653;PCLO;All-tumours;DFS;0,1;0,1;0,25;0,25;-0,4;248;Not Significative;0,49
GSE21653;PCLO;Luminal-A;DFS;0,03;0,03;0,15;0,15;-1;85;Not Significative;0,49
GSE21653;PCLO;Luminal-B;DFS;0,35;0,36;0,35;0,36;0,4;42;Not Significative;0,49
GSE21653;PCLO;HER2-enriched;DFS;0,32;0,34;0,35;0,36;-0,8;22;Not Significative;0,49
GSE21653;PCLO;Basal-like;DFS;0,33;0,34;0,35;0,36;-0,4;74;Not Significative;0,49
GSE21653;WDR91;All-tumours;DFS;0,85;0,85;0,85;0,85;0;248;Not Significative;0,49
GSE21653;WDR91;Luminal-A;DFS;0,06;0,07;0,30;0,35;-0,8;85;Not Significative;0,49
GSE21653;WDR91;Luminal-B;DFS;0,32;0,33;0,53;0,55;-0,5;42;Not Significative;0,49
GSE21653;WDR91;HER2-enriched;DFS;0,67;0,67;0,84;0,84;-0,3;22;Not Significative;0,49
GSE21653;WDR91;Basal-like;DFS;0,15;0,16;0,37;0,40;0,6;74;Not Significative;0,49
GSE21653;SETD2;All-tumours;DFS;0,56;0,56;0,79;0,79;-0,1;248;Not Significative;0,49
GSE21653;SETD2;Luminal-A;DFS;0,63;0,63;0,79;0,79;0,2;85;Not Significative;0,49
GSE21653;SETD2;Luminal-B;DFS;0,84;0,84;0,84;0,84;0,1;42;Not Significative;0,49
GSE21653;SETD2;HER2-enriched;DFS;0,45;0,45;0,79;0,79;-0,6;22;Not Significative;0,49
GSE21653;SETD2;Basal-like;DFS;0,41;0,42;0,79;0,79;-0,4;74;Not Significative;0,49
GSE21653;METTL5;All-tumours;DFS;0,9;0,9;0,97;0,97;0;248;Not Significative;0,49
GSE21653;METTL5;Luminal-A;DFS;0,33;0,33;0,97;0,97;0,4;85;Not Significative;0,49
GSE21653;METTL5;Luminal-B;DFS;0,96;0,96;0,97;0,97;0;42;Not Significative;0,49
GSE21653;METTL5;HER2-enriched;DFS;0,79;0,79;0,97;0,97;0,2;22;Not Significative;0,49
GSE21653;METTL5;Basal-like;DFS;0,97;0,97;0,97;0,97;0;74;Not Significative;0,49
GSE21653;UHRF1;All-tumours;DFS;0,01;0,01;0,02;0,02;-0,6;248;Significative;0,49
GSE21653;UHRF1;Luminal-A;DFS;0,08;0,09;0,13;0,15;-0,7;85;Not Significative;0,49
GSE21653;UHRF1;Luminal-B;DFS;0,96;0,96;0,96;0,96;0;42;Not Significative;0,49
GSE21653;UHRF1;HER2-enriched;DFS;0,52;0,52;0,65;0,65;0,5;22;Not Significative;0,49
GSE21653;UHRF1;Basal-like;DFS;0;0,01;0,00;0,02;-1,3;74;Significative;0,49
GSE21653;STRN4;All-tumours;DFS;0,46;0,47;0,77;0,78;-0,2;248;Not Significative;0,49
GSE21653;STRN4;Luminal-A;DFS;0,37;0,37;0,77;0,78;-0,4;85;Not Significative;0,49
GSE21653;STRN4;Luminal-B;DFS;0,88;0,88;0,88;0,88;-0,1;42;Not Significative;0,49
GSE21653;STRN4;HER2-enriched;DFS;0,79;0,79;0,88;0,88;-0,2;22;Not Significative;0,49
GSE21653;STRN4;Basal-like;DFS;0,42;0,43;0,77;0,78;-0,4;74;Not Significative;0,49
GSE21653;DNMT3L;All-tumours;DFS;0,37;0,38;0,60;0,60;-0,2;248;Not Significative;0,49
GSE21653;DNMT3L;Luminal-A;DFS;0,48;0,48;0,60;0,60;0,3;85;Not Significative;0,49
GSE21653;DNMT3L;Luminal-B;DFS;0,37;0,37;0,60;0,60;-0,4;42;Not Significative;0,49
GSE21653;DNMT3L;HER2-enriched;DFS;0,16;0,18;0,60;0,60;1,1;22;Not Significative;0,49
GSE21653;DNMT3L;Basal-like;DFS;0,92;0,92;0,92;0,92;0;74;Not Significative;0,49
GSE21653;MRM2;All-tumours;DFS;0,51;0,51;0,64;0,64;-0,2;248;Not Significative;0,49
GSE21653;MRM2;Luminal-A;DFS;0,19;0,2;0,48;0,50;-0,5;85;Not Significative;0,49
GSE21653;MRM2;Luminal-B;DFS;0,68;0,68;0,68;0,68;0,2;42;Not Significative;0,49
GSE21653;MRM2;HER2-enriched;DFS;0,04;0,08;0,20;0,40;1,9;22;Not Significative;0,49
GSE21653;MRM2;Basal-like;DFS;0,48;0,48;0,64;0,64;-0,3;74;Not Significative;0,49
GSE21653;STRN3;All-tumours;DFS;0,98;0,98;0,98;0,98;0;248;Not Significative;0,49
GSE21653;STRN3;Luminal-A;DFS;0,63;0,64;0,98;0,98;0,2;85;Not Significative;0,49
GSE21653;STRN3;Luminal-B;DFS;0,2;0,2;0,98;0,98;0,6;42;Not Significative;0,49
GSE21653;STRN3;HER2-enriched;DFS;0,93;0,93;0,98;0,98;-0,1;22;Not Significative;0,49
GSE21653;STRN3;Basal-like;DFS;0,97;0,97;0,98;0,98;0;74;Not Significative;0,49
GSE21653;BAZ2B;All-tumours;DFS;0,21;0,21;0,84;0,84;0,3;248;Not Significative;0,49
GSE21653;BAZ2B;Luminal-A;DFS;0,58;0,58;0,84;0,84;0,2;85;Not Significative;0,49
GSE21653;BAZ2B;Luminal-B;DFS;0,39;0,39;0,84;0,84;0,4;42;Not Significative;0,49
GSE21653;BAZ2B;HER2-enriched;DFS;0,96;0,96;0,96;0,96;0;22;Not Significative;0,49
GSE21653;BAZ2B;Basal-like;DFS;0,67;0,67;0,84;0,84;0,2;74;Not Significative;0,49
GSE21653;CXXC1;All-tumours;DFS;0,93;0,93;0,93;0,93;0;248;Not Significative;0,49
GSE21653;CXXC1;Luminal-A;DFS;0,88;0,88;0,93;0,93;0,1;85;Not Significative;0,49
GSE21653;CXXC1;Luminal-B;DFS;0,64;0,64;0,93;0,93;-0,2;42;Not Significative;0,49
GSE21653;CXXC1;HER2-enriched;DFS;0,74;0,74;0,93;0,93;-0,3;22;Not Significative;0,49
GSE21653;CXXC1;Basal-like;DFS;0,62;0,62;0,93;0,93;0,2;74;Not Significative;0,49
GSE21653;PIK3R4;All-tumours;DFS;0,67;0,67;0,84;0,84;0,1;248;Not Significative;0,49
GSE21653;PIK3R4;Luminal-A;DFS;0,87;0,87;0,87;0,87;-0,1;85;Not Significative;0,49
GSE21653;PIK3R4;Luminal-B;DFS;0,02;0,03;0,10;0,15;1,1;42;Significative;0,49
GSE21653;PIK3R4;HER2-enriched;DFS;0,52;0,52;0,84;0,84;0,5;22;Not Significative;0,49
GSE21653;PIK3R4;Basal-like;DFS;0,08;0,09;0,20;0,22;-0,8;74;Not Significative;0,49
GSE21653;DCAF8;All-tumours;DFS;0,24;0,24;0,30;0,31;-0,3;248;Not Significative;0,49
GSE21653;DCAF8;Luminal-A;DFS;0,28;0,29;0,30;0,31;-0,4;85;Not Significative;0,49
GSE21653;DCAF8;Luminal-B;DFS;0;0,01;0,00;0,05;-1,4;42;Significative;0,49
GSE21653;DCAF8;HER2-enriched;DFS;0,07;0,11;0,18;0,27;1,8;22;Not Significative;0,49
GSE21653;DCAF8;Basal-like;DFS;0,3;0,31;0,30;0,31;-0,5;74;Not Significative;0,49
GSE21653;HDGFL3;All-tumours;DFS;0,67;0,67;0,84;0,84;-0,1;248;Not Significative;0,49
GSE21653;HDGFL3;Luminal-A;DFS;0,46;0,46;0,77;0,77;0,3;85;Not Significative;0,49
GSE21653;HDGFL3;Luminal-B;DFS;0,2;0,21;0,50;0,52;0,6;42;Not Significative;0,49
GSE21653;HDGFL3;HER2-enriched;DFS;0,92;0,92;0,92;0,92;-0,1;22;Not Significative;0,49
GSE21653;HDGFL3;Basal-like;DFS;0,16;0,16;0,50;0,52;-0,6;74;Not Significative;0,49
GSE21653;UTP18;All-tumours;DFS;0,48;0,48;0,57;0,57;-0,2;248;Not Significative;0,49
GSE21653;UTP18;Luminal-A;DFS;0,37;0,37;0,57;0,57;-0,4;85;Not Significative;0,49
GSE21653;UTP18;Luminal-B;DFS;0,38;0,38;0,57;0,57;0,4;42;Not Significative;0,49
GSE21653;UTP18;HER2-enriched;DFS;0,02;0,05;0,10;0,25;2,1;22;Significative;0,49
GSE21653;UTP18;Basal-like;DFS;0,57;0,57;0,57;0,57;-0,3;74;Not Significative;0,49
GSE21653;PHF20L1;All-tumours;DFS;0,25;0,25;0,53;0,53;0,3;248;Not Significative;0,49
GSE21653;PHF20L1;Luminal-A;DFS;0,22;0,22;0,53;0,53;0,5;85;Not Significative;0,49
GSE21653;PHF20L1;Luminal-B;DFS;0,81;0,81;0,99;0,99;0,1;42;Not Significative;0,49
GSE21653;PHF20L1;HER2-enriched;DFS;0,99;0,99;0,99;0,99;0;22;Not Significative;0,49
GSE21653;PHF20L1;Basal-like;DFS;0,32;0,32;0,53;0,53;-0,4;74;Not Significative;0,49
GSE21653;METTL9;All-tumours;DFS;0,19;0,19;0,48;0,48;-0,3;248;Not Significative;0,49
GSE21653;METTL9;Luminal-A;DFS;0,4;0,41;0,50;0,51;-0,3;85;Not Significative;0,49
GSE21653;METTL9;Luminal-B;DFS;0,03;0,04;0,15;0,20;-1;42;Not Significative;0,49
GSE21653;METTL9;HER2-enriched;DFS;0,98;0,98;0,98;0,98;0;22;Not Significative;0,49
GSE21653;METTL9;Basal-like;DFS;0,35;0,35;0,50;0,51;-0,4;74;Not Significative;0,49
GSE21653;KMT5B;All-tumours;DFS;0,47;0,48;0,78;0,80;-0,2;248;Not Significative;0,49
GSE21653;KMT5B;Luminal-A;DFS;0,64;0,64;0,80;0,80;0,2;85;Not Significative;0,49
GSE21653;KMT5B;Luminal-B;DFS;0,32;0,32;0,78;0,80;-0,5;42;Not Significative;0,49
GSE21653;KMT5B;HER2-enriched;DFS;0,26;0,28;0,78;0,80;0,9;22;Not Significative;0,49
GSE21653;KMT5B;Basal-like;DFS;0,89;0,89;0,89;0,89;-0,1;74;Not Significative;0,49
GSE21653;PHF11;All-tumours;DFS;0,15;0,15;0,36;0,36;0,3;248;Not Significative;0,49
GSE21653;PHF11;Luminal-A;DFS;0,29;0,29;0,36;0,36;0,4;85;Not Significative;0,49
GSE21653;PHF11;Luminal-B;DFS;0,23;0,24;0,36;0,36;-0,6;42;Not Significative;0,49
GSE21653;PHF11;HER2-enriched;DFS;0,42;0,43;0,42;0,43;-0,6;22;Not Significative;0,49
GSE21653;PHF11;Basal-like;DFS;0,03;0,04;0,15;0,20;1;74;Not Significative;0,49
GSE21653;KCTD3;All-tumours;DFS;0,42;0,42;0,59;0,60;0,2;248;Not Significative;0,49
GSE21653;KCTD3;Luminal-A;DFS;0,63;0,63;0,63;0,63;0,2;85;Not Significative;0,49
GSE21653;KCTD3;Luminal-B;DFS;0,32;0,32;0,59;0,60;0,5;42;Not Significative;0,49
GSE21653;KCTD3;HER2-enriched;DFS;0,47;0,48;0,59;0,60;0,6;22;Not Significative;0,49
GSE21653;KCTD3;Basal-like;DFS;0,29;0,3;0,59;0,60;-0,5;74;Not Significative;0,49
GSE21653;ING4;All-tumours;DFS;0,91;0,91;0,91;0,91;0;248;Not Significative;0,49
GSE21653;ING4;Luminal-A;DFS;0,16;0,16;0,70;0,70;0,6;85;Not Significative;0,49
GSE21653;ING4;Luminal-B;DFS;0,48;0,48;0,70;0,70;-0,3;42;Not Significative;0,49
GSE21653;ING4;HER2-enriched;DFS;0,56;0,56;0,70;0,70;-0,5;22;Not Significative;0,49
GSE21653;ING4;Basal-like;DFS;0,54;0,54;0,70;0,70;-0,3;74;Not Significative;0,49
GSE21653;PHF20;All-tumours;DFS;0,37;0,37;0,42;0,43;0,2;248;Not Significative;0,49
GSE21653;PHF20;Luminal-A;DFS;0,2;0,21;0,33;0,35;0,5;85;Not Significative;0,49
GSE21653;PHF20;Luminal-B;DFS;0,12;0,13;0,30;0,33;0,7;42;Not Significative;0,49
GSE21653;PHF20;HER2-enriched;DFS;0,42;0,43;0,42;0,43;0,6;22;Not Significative;0,49
GSE21653;PHF20;Basal-like;DFS;0,03;0,04;0,15;0,20;-1;74;Not Significative;0,49
GSE21653;PHF21A;All-tumours;DFS;0,18;0,18;0,45;0,45;0,3;248;Not Significative;0,49
GSE21653;PHF21A;Luminal-A;DFS;0,99;0,99;0,99;0,99;0;85;Not Significative;0,49
GSE21653;PHF21A;Luminal-B;DFS;0,03;0,04;0,15;0,20;-1;42;Not Significative;0,49
GSE21653;PHF21A;HER2-enriched;DFS;0,82;0,82;0,99;0,99;0,2;22;Not Significative;0,49
GSE21653;PHF21A;Basal-like;DFS;0,42;0,42;0,70;0,70;0,4;74;Not Significative;0,49
GSE21653;FZR1;All-tumours;DFS;0,44;0,44;0,73;0,73;-0,2;248;Not Significative;0,49
GSE21653;FZR1;Luminal-A;DFS;0,39;0,39;0,73;0,73;-0,4;85;Not Significative;0,49
GSE21653;FZR1;Luminal-B;DFS;0,8;0,8;0,82;0,82;0,1;42;Not Significative;0,49
GSE21653;FZR1;HER2-enriched;DFS;0,82;0,82;0,82;0,82;-0,2;22;Not Significative;0,49
GSE21653;FZR1;Basal-like;DFS;0,09;0,1;0,45;0,50;-0,7;74;Not Significative;0,49
GSE21653;CDC40;All-tumours;DFS;0,55;0,55;0,95;0,95;-0,1;248;Not Significative;0,49
GSE21653;CDC40;Luminal-A;DFS;0,49;0,49;0,95;0,95;-0,3;85;Not Significative;0,49
GSE21653;CDC40;Luminal-B;DFS;0,79;0,79;0,95;0,95;-0,1;42;Not Significative;0,49
GSE21653;CDC40;HER2-enriched;DFS;0,86;0,86;0,95;0,95;0,1;22;Not Significative;0,49
GSE21653;CDC40;Basal-like;DFS;0,95;0,95;0,95;0,95;0;74;Not Significative;0,49
GSE21653;SFMBT1;All-tumours;DFS;0,11;0,12;0,50;0,50;0,4;248;Not Significative;0,49
GSE21653;SFMBT1;Luminal-A;DFS;0,27;0,27;0,50;0,50;0,5;85;Not Significative;0,49
GSE21653;SFMBT1;Luminal-B;DFS;0,3;0,3;0,50;0,50;0,5;42;Not Significative;0,49
GSE21653;SFMBT1;HER2-enriched;DFS;0,68;0,68;0,68;0,68;0,3;22;Not Significative;0,49
GSE21653;SFMBT1;Basal-like;DFS;0,47;0,47;0,59;0,59;0,3;74;Not Significative;0,49
GSE21653;ANKFY1;All-tumours;DFS;0,62;0,62;0,77;0,77;-0,1;248;Not Significative;0,49
GSE21653;ANKFY1;Luminal-A;DFS;0,87;0,87;0,87;0,87;-0,1;85;Not Significative;0,49
GSE21653;ANKFY1;Luminal-B;DFS;0,07;0,07;0,35;0,35;0,9;42;Not Significative;0,49
GSE21653;ANKFY1;HER2-enriched;DFS;0,23;0,24;0,50;0,50;-0,9;22;Not Significative;0,49
GSE21653;ANKFY1;Basal-like;DFS;0,3;0,3;0,50;0,50;-0,5;74;Not Significative;0,49
GSE21653;SPOUT1;All-tumours;DFS;0,74;0,74;0,92;0,92;0,1;248;Not Significative;0,49
GSE21653;SPOUT1;Luminal-A;DFS;0,96;0,96;0,96;0,96;0;85;Not Significative;0,49
GSE21653;SPOUT1;Luminal-B;DFS;0,46;0,46;0,92;0,92;0,3;42;Not Significative;0,49
GSE21653;SPOUT1;HER2-enriched;DFS;0,08;0,1;0,40;0,50;-1,4;22;Not Significative;0,49
GSE21653;SPOUT1;Basal-like;DFS;0,64;0,64;0,92;0,92;0,2;74;Not Significative;0,49
GSE21653;DTL;All-tumours;DFS;0;0,01;0,00;0,02;-0,6;248;Significative;0,49
GSE21653;DTL;Luminal-A;DFS;0,81;0,81;0,93;0,94;-0,1;85;Not Significative;0,49
GSE21653;DTL;Luminal-B;DFS;0,93;0,94;0,93;0,94;0;42;Not Significative;0,49
GSE21653;DTL;HER2-enriched;DFS;0,16;0,18;0,27;0,30;1,1;22;Not Significative;0,49
