dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
E_MTAB_365;TULP4;Luminal-A;DFS;0,6;0,2;113;0,96
E_MTAB_365;TULP4;Luminal-B;OS;0,96;0;103;0,96
E_MTAB_365;TULP4;Luminal-B;DFS;0,38;0,3;103;0,80
E_MTAB_365;TULP4;HER2-enriched;OS;0,25;0,7;48;0,80
E_MTAB_365;TULP4;HER2-enriched;DFS;0,15;0,8;48;0,80
E_MTAB_365;TULP4;Basal-like;OS;0,68;-0,2;82;0,96
E_MTAB_365;TULP4;Basal-like;DFS;0,4;-0,3;82;0,80
E_MTAB_365;INTS12;All-tumours;OS;0,46;0,2;428;0,74
E_MTAB_365;INTS12;All-tumours;DFS;0,64;0,1;428;0,80
E_MTAB_365;INTS12;Luminal-A;OS;0,21;0,8;113;0,52
E_MTAB_365;INTS12;Luminal-A;DFS;0,03;1,1;113;0,30
E_MTAB_365;INTS12;Luminal-B;OS;0,28;-0,4;103;0,56
E_MTAB_365;INTS12;Luminal-B;DFS;0,52;-0,2;103;0,74
E_MTAB_365;INTS12;HER2-enriched;OS;0,86;0,1;48;0,86
E_MTAB_365;INTS12;HER2-enriched;DFS;0,74;-0,2;48;0,82
E_MTAB_365;INTS12;Basal-like;OS;0,15;-0,6;82;0,52
E_MTAB_365;INTS12;Basal-like;DFS;0,16;-0,5;82;0,52
E_MTAB_365;SCYL3;All-tumours;OS;0,29;0,2;428;0,43
E_MTAB_365;SCYL3;All-tumours;DFS;0,24;0,2;428;0,43
E_MTAB_365;SCYL3;Luminal-A;OS;0,82;0,1;113;0,91
E_MTAB_365;SCYL3;Luminal-A;DFS;0,94;0;113;0,94
E_MTAB_365;SCYL3;Luminal-B;OS;0,24;-0,4;103;0,43
E_MTAB_365;SCYL3;Luminal-B;DFS;0,06;-0,6;103;0,43
E_MTAB_365;SCYL3;HER2-enriched;OS;0,13;0,9;48;0,43
E_MTAB_365;SCYL3;HER2-enriched;DFS;0,24;0,6;48;0,43
E_MTAB_365;SCYL3;Basal-like;OS;0,3;-0,4;82;0,43
E_MTAB_365;SCYL3;Basal-like;DFS;0,63;-0,2;82;0,79
E_MTAB_365;CORO1B;All-tumours;OS;0,48;0,1;428;0,74
E_MTAB_365;CORO1B;All-tumours;DFS;0,61;-0,1;428;0,74
E_MTAB_365;CORO1B;Luminal-A;OS;0,27;0,7;113;0,54
E_MTAB_365;CORO1B;Luminal-A;DFS;0,59;-0,3;113;0,74
E_MTAB_365;CORO1B;Luminal-B;OS;0,06;0,7;103;0,20
E_MTAB_365;CORO1B;Luminal-B;DFS;0,16;0,5;103;0,40
E_MTAB_365;CORO1B;HER2-enriched;OS;0,67;-0,3;48;0,74
E_MTAB_365;CORO1B;HER2-enriched;DFS;0,93;0;48;0,93
E_MTAB_365;CORO1B;Basal-like;OS;0,01;1;82;0,10
E_MTAB_365;CORO1B;Basal-like;DFS;0,04;0,7;82;0,20
E_MTAB_365;CBX8;All-tumours;OS;0,68;0,1;428;0,91
E_MTAB_365;CBX8;All-tumours;DFS;0,91;0;428;0,91
E_MTAB_365;CBX8;Luminal-A;OS;0,29;0,7;113;0,86
E_MTAB_365;CBX8;Luminal-A;DFS;0,89;-0,1;113;0,91
E_MTAB_365;CBX8;Luminal-B;OS;0,78;-0,1;103;0,91
E_MTAB_365;CBX8;Luminal-B;DFS;0,25;-0,4;103;0,86
E_MTAB_365;CBX8;HER2-enriched;OS;0,42;0,5;48;0,86
E_MTAB_365;CBX8;HER2-enriched;DFS;0,53;0,3;48;0,88
E_MTAB_365;CBX8;Basal-like;OS;0,43;0,3;82;0,86
E_MTAB_365;CBX8;Basal-like;DFS;0,24;0,4;82;0,86
E_MTAB_365;WDR18;All-tumours;OS;0,67;0,1;428;0,89
E_MTAB_365;WDR18;All-tumours;DFS;0,61;-0,1;428;0,89
E_MTAB_365;WDR18;Luminal-A;OS;0,81;0,2;113;0,89
E_MTAB_365;WDR18;Luminal-A;DFS;0,85;0,1;113;0,89
E_MTAB_365;WDR18;Luminal-B;OS;0,12;0,6;103;0,89
E_MTAB_365;WDR18;Luminal-B;DFS;0,65;0,2;103;0,89
E_MTAB_365;WDR18;HER2-enriched;OS;0,81;-0,1;48;0,89
E_MTAB_365;WDR18;HER2-enriched;DFS;0,89;-0,1;48;0,89
E_MTAB_365;WDR18;Basal-like;OS;0,41;-0,3;82;0,89
E_MTAB_365;WDR18;Basal-like;DFS;0,35;-0,3;82;0,89
E_MTAB_365;NWD2;All-tumours;OS;0,2;-0,3;428;0,85
E_MTAB_365;NWD2;All-tumours;DFS;0,07;-0,3;428;0,70
E_MTAB_365;NWD2;Luminal-A;OS;0,93;-0,1;113;0,98
E_MTAB_365;NWD2;Luminal-A;DFS;0,98;0;113;0,98
E_MTAB_365;NWD2;Luminal-B;OS;0,65;-0,2;103;0,89
E_MTAB_365;NWD2;Luminal-B;DFS;0,34;-0,3;103;0,85
E_MTAB_365;NWD2;HER2-enriched;OS;0,71;-0,2;48;0,89
E_MTAB_365;NWD2;HER2-enriched;DFS;0,52;-0,3;48;0,87
E_MTAB_365;NWD2;Basal-like;OS;0,45;-0,3;82;0,87
E_MTAB_365;NWD2;Basal-like;DFS;0,29;-0,4;82;0,85
E_MTAB_365;MTA3;All-tumours;OS;0,19;-0,3;428;0,48
E_MTAB_365;MTA3;All-tumours;DFS;0,07;-0,3;428;0,40
E_MTAB_365;MTA3;Luminal-A;OS;0,68;0,3;113;0,76
E_MTAB_365;MTA3;Luminal-A;DFS;0,79;0,1;113;0,79
E_MTAB_365;MTA3;Luminal-B;OS;0,12;-0,6;103;0,40
E_MTAB_365;MTA3;Luminal-B;DFS;0,12;-0,5;103;0,40
E_MTAB_365;MTA3;HER2-enriched;OS;0,48;0,4;48;0,69
E_MTAB_365;MTA3;HER2-enriched;DFS;0,6;0,3;48;0,75
E_MTAB_365;MTA3;Basal-like;OS;0,31;-0,4;82;0,62
E_MTAB_365;MTA3;Basal-like;DFS;0,46;-0,3;82;0,69
E_MTAB_365;RPTOR;All-tumours;OS;0,77;-0,1;428;0,93
E_MTAB_365;RPTOR;All-tumours;DFS;0,56;-0,1;428;0,93
E_MTAB_365;RPTOR;Luminal-A;OS;0,49;-0,4;113;0,93
E_MTAB_365;RPTOR;Luminal-A;DFS;0,84;-0,1;113;0,93
E_MTAB_365;RPTOR;Luminal-B;OS;0,77;0,1;103;0,93
E_MTAB_365;RPTOR;Luminal-B;DFS;0,98;0;103;0,98
E_MTAB_365;RPTOR;HER2-enriched;OS;0,23;0,7;48;0,58
E_MTAB_365;RPTOR;HER2-enriched;DFS;0,17;0,7;48;0,57
E_MTAB_365;RPTOR;Basal-like;OS;0,1;-0,6;82;0,55
E_MTAB_365;RPTOR;Basal-like;DFS;0,11;-0,5;82;0,55
E_MTAB_365;WDR35;All-tumours;OS;0,01;0,6;428;0,05
E_MTAB_365;WDR35;All-tumours;DFS;0;0,5;428;0,00
E_MTAB_365;WDR35;Luminal-A;OS;0,28;0,9;113;0,77
E_MTAB_365;WDR35;Luminal-A;DFS;0,31;0,5;113;0,77
E_MTAB_365;WDR35;Luminal-B;OS;0,96;0;103;0,96
E_MTAB_365;WDR35;Luminal-B;DFS;0,86;0,1;103;0,96
E_MTAB_365;WDR35;HER2-enriched;OS;0,82;0,1;48;0,96
E_MTAB_365;WDR35;HER2-enriched;DFS;0,72;0,2;48;0,96
E_MTAB_365;WDR35;Basal-like;OS;0,64;0,2;82;0,96
E_MTAB_365;WDR35;Basal-like;DFS;0,42;0,3;82;0,84
E_MTAB_365;IFT80;All-tumours;OS;0,21;0,3;428;0,52
E_MTAB_365;IFT80;All-tumours;DFS;0,26;0,2;428;0,52
E_MTAB_365;IFT80;Luminal-A;OS;0,17;-0,9;113;0,52
E_MTAB_365;IFT80;Luminal-A;DFS;0,26;-0,5;113;0,52
E_MTAB_365;IFT80;Luminal-B;OS;0,98;0;103;0,98
E_MTAB_365;IFT80;Luminal-B;DFS;0,38;0,3;103;0,54
E_MTAB_365;IFT80;HER2-enriched;OS;0,83;0,1;48;0,92
E_MTAB_365;IFT80;HER2-enriched;DFS;0,65;-0,2;48;0,81
E_MTAB_365;IFT80;Basal-like;OS;0,34;-0,4;82;0,54
E_MTAB_365;IFT80;Basal-like;DFS;0,15;-0,5;82;0,52
E_MTAB_365;WDFY1;All-tumours;OS;0,86;0;428;0,98
E_MTAB_365;WDFY1;All-tumours;DFS;0,86;0;428;0,98
E_MTAB_365;WDFY1;Luminal-A;OS;0,3;-0,7;113;0,98
E_MTAB_365;WDFY1;Luminal-A;DFS;0,98;0;113;0,98
E_MTAB_365;WDFY1;Luminal-B;OS;0,92;0;103;0,98
E_MTAB_365;WDFY1;Luminal-B;DFS;0,84;0,1;103;0,98
E_MTAB_365;WDFY1;HER2-enriched;OS;0,03;1,4;48;0,30
E_MTAB_365;WDFY1;HER2-enriched;DFS;0,11;0,9;48;0,55
E_MTAB_365;WDFY1;Basal-like;OS;0,49;-0,3;82;0,98
E_MTAB_365;WDFY1;Basal-like;DFS;0,52;-0,2;82;0,98
E_MTAB_365;BAHCC1;All-tumours;OS;0,13;0,3;428;0,44
E_MTAB_365;BAHCC1;All-tumours;DFS;0,19;0,2;428;0,44
E_MTAB_365;BAHCC1;Luminal-A;OS;0,45;0,5;113;0,56
E_MTAB_365;BAHCC1;Luminal-A;DFS;0,44;0,4;113;0,56
E_MTAB_365;BAHCC1;Luminal-B;OS;0,35;0,4;103;0,56
E_MTAB_365;BAHCC1;Luminal-B;DFS;0,22;0,4;103;0,44
E_MTAB_365;BAHCC1;HER2-enriched;OS;0,94;0;48;0,94
E_MTAB_365;BAHCC1;HER2-enriched;DFS;0,85;-0,1;48;0,94
E_MTAB_365;BAHCC1;Basal-like;OS;0,12;0,6;82;0,44
E_MTAB_365;BAHCC1;Basal-like;DFS;0,21;0,4;82;0,44
E_MTAB_365;WDR48;All-tumours;OS;0,05;0,4;428;0,15
E_MTAB_365;WDR48;All-tumours;DFS;0,02;0,4;428;0,15
E_MTAB_365;WDR48;Luminal-A;OS;0,6;-0,3;113;0,75
E_MTAB_365;WDR48;Luminal-A;DFS;0,35;-0,5;113;0,58
E_MTAB_365;WDR48;Luminal-B;OS;0,24;0,4;103;0,48
E_MTAB_365;WDR48;Luminal-B;DFS;0,85;0,1;103;0,93
E_MTAB_365;WDR48;HER2-enriched;OS;0,93;0;48;0,93
E_MTAB_365;WDR48;HER2-enriched;DFS;0,51;-0,4;48;0,73
E_MTAB_365;WDR48;Basal-like;OS;0,05;0,7;82;0,15
E_MTAB_365;WDR48;Basal-like;DFS;0,06;0,7;82;0,15
E_MTAB_365;TRMT9B;All-tumours;OS;0,94;0;428;0,94
E_MTAB_365;TRMT9B;All-tumours;DFS;0,7;-0,1;428;0,83
E_MTAB_365;TRMT9B;Luminal-A;OS;0,14;-1;113;0,45
E_MTAB_365;TRMT9B;Luminal-A;DFS;0,29;-0,5;113;0,52
E_MTAB_365;TRMT9B;Luminal-B;OS;0,47;-0,3;103;0,67
E_MTAB_365;TRMT9B;Luminal-B;DFS;0,18;-0,4;103;0,45
E_MTAB_365;TRMT9B;HER2-enriched;OS;0,01;-1,6;48;0,05
E_MTAB_365;TRMT9B;HER2-enriched;DFS;0,01;-1,6;48;0,05
E_MTAB_365;TRMT9B;Basal-like;OS;0,31;0,4;82;0,52
E_MTAB_365;TRMT9B;Basal-like;DFS;0,75;0,1;82;0,83
E_MTAB_365;RELCH;All-tumours;OS;0,72;-0,1;428;0,90
E_MTAB_365;RELCH;All-tumours;DFS;0,53;0,1;428;0,83
E_MTAB_365;RELCH;Luminal-A;OS;0,35;0,6;113;0,83
E_MTAB_365;RELCH;Luminal-A;DFS;0,22;0,6;113;0,73
E_MTAB_365;RELCH;Luminal-B;OS;0,03;-0,8;103;0,30
E_MTAB_365;RELCH;Luminal-B;DFS;0,17;-0,5;103;0,73
E_MTAB_365;RELCH;HER2-enriched;OS;0,42;0,5;48;0,83
E_MTAB_365;RELCH;HER2-enriched;DFS;0,98;0;48;0,98
E_MTAB_365;RELCH;Basal-like;OS;0,95;0;82;0,98
E_MTAB_365;RELCH;Basal-like;DFS;0,58;0,2;82;0,83
E_MTAB_365;PHF12;All-tumours;OS;0,3;0,2;428;0,75
E_MTAB_365;PHF12;All-tumours;DFS;0,89;0;428;0,95
E_MTAB_365;PHF12;Luminal-A;OS;0,08;-1,3;113;0,60
E_MTAB_365;PHF12;Luminal-A;DFS;0,12;-0,8;113;0,60
E_MTAB_365;PHF12;Luminal-B;OS;0,18;0,5;103;0,60
E_MTAB_365;PHF12;Luminal-B;DFS;0,92;0;103;0,95
E_MTAB_365;PHF12;HER2-enriched;OS;0,74;0,2;48;0,95
E_MTAB_365;PHF12;HER2-enriched;DFS;0,87;0,1;48;0,95
E_MTAB_365;PHF12;Basal-like;OS;0,89;0,1;82;0,95
E_MTAB_365;PHF12;Basal-like;DFS;0,95;0;82;0,95
E_MTAB_365;PHRF1;All-tumours;OS;0,73;-0,1;428;0,93
E_MTAB_365;PHRF1;All-tumours;DFS;0,88;0;428;0,93
E_MTAB_365;PHRF1;Luminal-A;OS;0,8;0,2;113;0,93
E_MTAB_365;PHRF1;Luminal-A;DFS;0,93;0;113;0,93
E_MTAB_365;PHRF1;Luminal-B;OS;0,38;-0,3;103;0,93
E_MTAB_365;PHRF1;Luminal-B;DFS;0,37;-0,3;103;0,93
E_MTAB_365;PHRF1;HER2-enriched;OS;0,93;0;48;0,93
E_MTAB_365;PHRF1;HER2-enriched;DFS;0,86;0,1;48;0,93
E_MTAB_365;PHRF1;Basal-like;OS;0,88;0,1;82;0,93
E_MTAB_365;PHRF1;Basal-like;DFS;0,51;0,2;82;0,93
E_MTAB_365;CHD8;All-tumours;OS;0,03;0,5;428;0,20
E_MTAB_365;CHD8;All-tumours;DFS;0,04;0,4;428;0,20
E_MTAB_365;CHD8;Luminal-A;OS;0,95;0;113;0,97
E_MTAB_365;CHD8;Luminal-A;DFS;0,57;-0,3;113;0,94
E_MTAB_365;CHD8;Luminal-B;OS;0,18;0,5;103;0,60
E_MTAB_365;CHD8;Luminal-B;DFS;0,97;0;103;0,97
E_MTAB_365;CHD8;HER2-enriched;OS;0,71;0,2;48;0,94
E_MTAB_365;CHD8;HER2-enriched;DFS;0,75;0,2;48;0,94
E_MTAB_365;CHD8;Basal-like;OS;0,34;-0,4;82;0,85
E_MTAB_365;CHD8;Basal-like;DFS;0,68;-0,1;82;0,94
E_MTAB_365;WDFY4;All-tumours;OS;0,75;-0,1;428;0,92
E_MTAB_365;WDFY4;All-tumours;DFS;0,68;-0,1;428;0,92
E_MTAB_365;WDFY4;Luminal-A;OS;0,73;-0,2;113;0,92
E_MTAB_365;WDFY4;Luminal-A;DFS;0,58;-0,3;113;0,92
E_MTAB_365;WDFY4;Luminal-B;OS;0,95;0;103;0,95
E_MTAB_365;WDFY4;Luminal-B;DFS;0,83;-0,1;103;0,92
E_MTAB_365;WDFY4;HER2-enriched;OS;0,35;-0,5;48;0,92
E_MTAB_365;WDFY4;HER2-enriched;DFS;0,47;-0,4;48;0,92
E_MTAB_365;WDFY4;Basal-like;OS;0,81;0,1;82;0,92
E_MTAB_365;WDFY4;Basal-like;DFS;0,79;-0,1;82;0,92
E_MTAB_365;SFMBT2;All-tumours;OS;0,96;0;428;0,96
E_MTAB_365;SFMBT2;All-tumours;DFS;0,56;0,1;428;0,96
E_MTAB_365;SFMBT2;Luminal-A;OS;0,61;0,4;113;0,96
E_MTAB_365;SFMBT2;Luminal-A;DFS;0,91;-0,1;113;0,96
E_MTAB_365;SFMBT2;Luminal-B;OS;0,82;-0,1;103;0,96
E_MTAB_365;SFMBT2;Luminal-B;DFS;0,58;-0,2;103;0,96
E_MTAB_365;SFMBT2;HER2-enriched;OS;0,06;1,2;48;0,30
E_MTAB_365;SFMBT2;HER2-enriched;DFS;0,06;1,1;48;0,30
E_MTAB_365;SFMBT2;Basal-like;OS;0,91;0;82;0,96
E_MTAB_365;SFMBT2;Basal-like;DFS;0,78;0,1;82;0,96
E_MTAB_365;PPP4R4;All-tumours;OS;0,97;0;428;0,97
E_MTAB_365;PPP4R4;All-tumours;DFS;0,62;0,1;428;0,86
E_MTAB_365;PPP4R4;Luminal-A;OS;0,76;-0,2;113;0,86
E_MTAB_365;PPP4R4;Luminal-A;DFS;0,77;-0,1;113;0,86
E_MTAB_365;PPP4R4;Luminal-B;OS;0,4;0,3;103;0,86
E_MTAB_365;PPP4R4;Luminal-B;DFS;0,05;0,7;103;0,50
E_MTAB_365;PPP4R4;HER2-enriched;OS;0,23;-0,7;48;0,86
E_MTAB_365;PPP4R4;HER2-enriched;DFS;0,52;-0,3;48;0,86
E_MTAB_365;PPP4R4;Basal-like;OS;0,49;-0,3;82;0,86
E_MTAB_365;PPP4R4;Basal-like;DFS;0,73;-0,1;82;0,86
E_MTAB_365;METTL14;All-tumours;OS;0,62;0,1;428;0,89
E_MTAB_365;METTL14;All-tumours;DFS;0,39;0,2;428;0,87
E_MTAB_365;METTL14;Luminal-A;OS;0,38;-0,6;113;0,87
E_MTAB_365;METTL14;Luminal-A;DFS;0,91;-0,1;113;0,98
E_MTAB_365;METTL14;Luminal-B;OS;0,52;-0,2;103;0,87
E_MTAB_365;METTL14;Luminal-B;DFS;0,24;-0,4;103;0,87
E_MTAB_365;METTL14;HER2-enriched;OS;0,45;-0,5;48;0,87
E_MTAB_365;METTL14;HER2-enriched;DFS;0,52;-0,4;48;0,87
E_MTAB_365;METTL14;Basal-like;OS;0,98;0;82;0,98
E_MTAB_365;METTL14;Basal-like;DFS;0,94;0;82;0,98
E_MTAB_365;ZFYVE28;All-tumours;OS;0,02;0,5;428;0,04
E_MTAB_365;ZFYVE28;All-tumours;DFS;0,01;0,5;428;0,03
E_MTAB_365;ZFYVE28;Luminal-A;OS;0,68;0,3;113;0,76
E_MTAB_365;ZFYVE28;Luminal-A;DFS;0,43;0,4;113;0,55
E_MTAB_365;ZFYVE28;Luminal-B;OS;0,01;1;103;0,03
E_MTAB_365;ZFYVE28;Luminal-B;DFS;0,03;0,7;103;0,05
E_MTAB_365;ZFYVE28;HER2-enriched;OS;0,92;-0,1;48;0,92
E_MTAB_365;ZFYVE28;HER2-enriched;DFS;0,44;0,4;48;0,55
E_MTAB_365;ZFYVE28;Basal-like;OS;0,01;0,9;82;0,03
E_MTAB_365;ZFYVE28;Basal-like;DFS;0,02;0,8;82;0,04
E_MTAB_365;KMT2C;All-tumours;OS;0,89;0;428;0,89
E_MTAB_365;KMT2C;All-tumours;DFS;0,85;0;428;0,89
E_MTAB_365;KMT2C;Luminal-A;OS;0,69;-0,3;113;0,89
E_MTAB_365;KMT2C;Luminal-A;DFS;0,79;-0,1;113;0,89
E_MTAB_365;KMT2C;Luminal-B;OS;0,87;0,1;103;0,89
E_MTAB_365;KMT2C;Luminal-B;DFS;0,69;-0,1;103;0,89
E_MTAB_365;KMT2C;HER2-enriched;OS;0,29;-0,6;48;0,89
E_MTAB_365;KMT2C;HER2-enriched;DFS;0,13;-0,8;48;0,89
E_MTAB_365;KMT2C;Basal-like;OS;0,53;-0,2;82;0,89
E_MTAB_365;KMT2C;Basal-like;DFS;0,63;-0,2;82;0,89
E_MTAB_365;PRDM12;All-tumours;OS;0,46;0,2;428;0,63
E_MTAB_365;PRDM12;All-tumours;DFS;0,94;0;428;0,94
E_MTAB_365;PRDM12;Luminal-A;OS;0,32;0,6;113;0,63
E_MTAB_365;PRDM12;Luminal-A;DFS;0,47;0,3;113;0,63
E_MTAB_365;PRDM12;Luminal-B;OS;0,05;0,7;103;0,25
E_MTAB_365;PRDM12;Luminal-B;DFS;0,04;0,7;103;0,25
E_MTAB_365;PRDM12;HER2-enriched;OS;0,64;0,3;48;0,71
E_MTAB_365;PRDM12;HER2-enriched;DFS;0,2;0,7;48;0,63
E_MTAB_365;PRDM12;Basal-like;OS;0,5;0,3;82;0,63
E_MTAB_365;PRDM12;Basal-like;DFS;0,49;0,2;82;0,63
E_MTAB_365;PRDM13;All-tumours;OS;0,13;-0,3;428;0,65
E_MTAB_365;PRDM13;All-tumours;DFS;0,02;-0,4;428;0,20
E_MTAB_365;PRDM13;Luminal-A;OS;0,41;-0,5;113;0,92
E_MTAB_365;PRDM13;Luminal-A;DFS;0,33;-0,5;113;0,92
E_MTAB_365;PRDM13;Luminal-B;OS;0,93;0;103;0,93
E_MTAB_365;PRDM13;Luminal-B;DFS;0,61;-0,2;103;0,92
E_MTAB_365;PRDM13;HER2-enriched;OS;0,83;-0,1;48;0,92
E_MTAB_365;PRDM13;HER2-enriched;DFS;0,7;-0,2;48;0,92
E_MTAB_365;PRDM13;Basal-like;OS;0,5;0,3;82;0,92
E_MTAB_365;PRDM13;Basal-like;DFS;0,78;-0,1;82;0,92
E_MTAB_365;GNB4;All-tumours;OS;0,26;-0,2;428;0,95
E_MTAB_365;GNB4;All-tumours;DFS;0,91;0;428;0,95
E_MTAB_365;GNB4;Luminal-A;OS;0,88;0,1;113;0,95
E_MTAB_365;GNB4;Luminal-A;DFS;0,95;0;113;0,95
E_MTAB_365;GNB4;Luminal-B;OS;0,36;-0,3;103;0,95
E_MTAB_365;GNB4;Luminal-B;DFS;0,38;-0,3;103;0,95
E_MTAB_365;GNB4;HER2-enriched;OS;0,5;0,4;48;0,95
E_MTAB_365;GNB4;HER2-enriched;DFS;0,6;0,3;48;0,95
E_MTAB_365;GNB4;Basal-like;OS;0,93;0;82;0,95
E_MTAB_365;GNB4;Basal-like;DFS;0,37;0,3;82;0,95
E_MTAB_365;PRDM16;All-tumours;OS;0,74;-0,1;428;0,88
E_MTAB_365;PRDM16;All-tumours;DFS;0,28;-0,2;428;0,88
E_MTAB_365;PRDM16;Luminal-A;OS;0,49;0,4;113;0,88
E_MTAB_365;PRDM16;Luminal-A;DFS;0,75;0,2;113;0,88
E_MTAB_365;PRDM16;Luminal-B;OS;0,55;-0,2;103;0,88
E_MTAB_365;PRDM16;Luminal-B;DFS;0,65;-0,1;103;0,88
E_MTAB_365;PRDM16;HER2-enriched;OS;0,65;-0,3;48;0,88
E_MTAB_365;PRDM16;HER2-enriched;DFS;0,89;-0,1;48;0,89
E_MTAB_365;PRDM16;Basal-like;OS;0,73;-0,1;82;0,88
E_MTAB_365;PRDM16;Basal-like;DFS;0,79;-0,1;82;0,88
E_MTAB_365;PRDM15;All-tumours;OS;0,81;-0,1;428;0,98
E_MTAB_365;PRDM15;All-tumours;DFS;0,97;0;428;0,98
E_MTAB_365;PRDM15;Luminal-A;OS;0,81;0,2;113;0,98
E_MTAB_365;PRDM15;Luminal-A;DFS;0,89;0,1;113;0,98
E_MTAB_365;PRDM15;Luminal-B;OS;0,28;0,4;103;0,93
E_MTAB_365;PRDM15;Luminal-B;DFS;0,16;0,5;103;0,93
E_MTAB_365;PRDM15;HER2-enriched;OS;0,42;-0,5;48;0,98
E_MTAB_365;PRDM15;HER2-enriched;DFS;0,27;-0,6;48;0,93
E_MTAB_365;PRDM15;Basal-like;OS;0,7;0,1;82;0,98
E_MTAB_365;PRDM15;Basal-like;DFS;0,98;0;82;0,98
E_MTAB_365;PRDM14;All-tumours;OS;0,64;-0,1;428;0,78
E_MTAB_365;PRDM14;All-tumours;DFS;0,63;-0,1;428;0,78
E_MTAB_365;PRDM14;Luminal-A;OS;0,24;0,8;113;0,78
E_MTAB_365;PRDM14;Luminal-A;DFS;0,61;0,2;113;0,78
E_MTAB_365;PRDM14;Luminal-B;OS;0,44;0,3;103;0,78
E_MTAB_365;PRDM14;Luminal-B;DFS;0,33;0,3;103;0,78
E_MTAB_365;PRDM14;HER2-enriched;OS;0,14;-0,9;48;0,70
E_MTAB_365;PRDM14;HER2-enriched;DFS;0,13;-0,8;48;0,70
E_MTAB_365;PRDM14;Basal-like;OS;0,91;0;82;0,91
E_MTAB_365;PRDM14;Basal-like;DFS;0,7;0,1;82;0,78
E_MTAB_365;RBSN;All-tumours;OS;0,63;0,1;428;0,72
E_MTAB_365;RBSN;All-tumours;DFS;0,18;0,2;428;0,56
E_MTAB_365;RBSN;Luminal-A;OS;0,94;0,1;113;0,94
E_MTAB_365;RBSN;Luminal-A;DFS;0,45;0,4;113;0,64
E_MTAB_365;RBSN;Luminal-B;OS;0,65;0,2;103;0,72
E_MTAB_365;RBSN;Luminal-B;DFS;0,18;0,4;103;0,56
E_MTAB_365;RBSN;HER2-enriched;OS;0,24;-0,8;48;0,56
E_MTAB_365;RBSN;HER2-enriched;DFS;0,28;-0,6;48;0,56
E_MTAB_365;RBSN;Basal-like;OS;0,11;0,6;82;0,56
E_MTAB_365;RBSN;Basal-like;DFS;0,37;0,3;82;0,62
E_MTAB_365;MLST8;All-tumours;OS;0,3;-0,2;428;0,53
E_MTAB_365;MLST8;All-tumours;DFS;0,25;-0,2;428;0,53
E_MTAB_365;MLST8;Luminal-A;OS;0,54;-0,4;113;0,62
E_MTAB_365;MLST8;Luminal-A;DFS;0,62;0,2;113;0,62
E_MTAB_365;MLST8;Luminal-B;OS;0,32;0,4;103;0,53
E_MTAB_365;MLST8;Luminal-B;DFS;0,59;0,2;103;0,62
E_MTAB_365;MLST8;HER2-enriched;OS;0,42;-0,5;48;0,60
E_MTAB_365;MLST8;HER2-enriched;DFS;0,09;-1;48;0,40
E_MTAB_365;MLST8;Basal-like;OS;0,06;-0,8;82;0,40
E_MTAB_365;MLST8;Basal-like;DFS;0,12;-0,5;82;0,40
E_MTAB_365;NSD1;All-tumours;OS;0,03;-0,5;428;0,15
E_MTAB_365;NSD1;All-tumours;DFS;0,02;-0,4;428;0,15
E_MTAB_365;NSD1;Luminal-A;OS;0,57;-0,4;113;0,76
E_MTAB_365;NSD1;Luminal-A;DFS;0,97;0;113;0,97
E_MTAB_365;NSD1;Luminal-B;OS;0,36;-0,3;103;0,67
E_MTAB_365;NSD1;Luminal-B;DFS;0,13;-0,5;103;0,43
E_MTAB_365;NSD1;HER2-enriched;OS;0,77;0,2;48;0,86
E_MTAB_365;NSD1;HER2-enriched;DFS;0,61;0,3;48;0,76
E_MTAB_365;NSD1;Basal-like;OS;0,26;-0,4;82;0,65
E_MTAB_365;NSD1;Basal-like;DFS;0,4;-0,3;82;0,67
E_MTAB_365;COP1;All-tumours;OS;0,71;0,1;428;0,87
E_MTAB_365;COP1;All-tumours;DFS;0,87;0;428;0,87
E_MTAB_365;COP1;Luminal-A;OS;0,45;0,6;113;0,77
E_MTAB_365;COP1;Luminal-A;DFS;0,71;0,2;113;0,87
E_MTAB_365;COP1;Luminal-B;OS;0,36;-0,3;103;0,77
E_MTAB_365;COP1;Luminal-B;DFS;0,26;-0,4;103;0,77
E_MTAB_365;COP1;HER2-enriched;OS;0,01;1,7;48;0,10
E_MTAB_365;COP1;HER2-enriched;DFS;0,12;0,9;48;0,60
E_MTAB_365;COP1;Basal-like;OS;0,46;-0,3;82;0,77
E_MTAB_365;COP1;Basal-like;DFS;0,78;-0,1;82;0,87
E_MTAB_365;ZNF106;All-tumours;OS;0,8;-0,1;428;0,97
E_MTAB_365;ZNF106;All-tumours;DFS;0,8;0;428;0,97
E_MTAB_365;ZNF106;Luminal-A;OS;0,69;-0,3;113;0,97
E_MTAB_365;ZNF106;Luminal-A;DFS;0,93;0;113;0,97
E_MTAB_365;ZNF106;Luminal-B;OS;0,02;-0,9;103;0,20
E_MTAB_365;ZNF106;Luminal-B;DFS;0,13;-0,5;103;0,65
E_MTAB_365;ZNF106;HER2-enriched;OS;0,35;0,5;48;0,97
E_MTAB_365;ZNF106;HER2-enriched;DFS;0,39;0,5;48;0,97
E_MTAB_365;ZNF106;Basal-like;OS;0,97;0;82;0,97
E_MTAB_365;ZNF106;Basal-like;DFS;0,54;-0,2;82;0,97
